concept_id_1,concept_id_2,relationship,relationship_source
129226572,129226572,synonym,demo: address residence apartment (matched on question text)
134210521,129226572,synonym,demo: address residence apartment (matched on question text)
164233037,129226572,synonym,demo: address residence apartment (matched on question text)
179406442,129226572,synonym,demo: address residence apartment (matched on question text)
188067494,129226572,synonym,demo: address residence apartment (matched on question text)
194165243,129226572,synonym,demo: address residence apartment (matched on question text)
258232940,129226572,synonym,demo: address residence apartment (matched on question text)
278164536,129226572,synonym,demo: address residence apartment (matched on question text)
300476868,129226572,synonym,demo: address residence apartment (matched on question text)
362882148,129226572,synonym,demo: address residence apartment (matched on question text)
387077376,129226572,synonym,demo: address residence apartment (matched on question text)
450630128,129226572,synonym,demo: address residence apartment (matched on question text)
469838242,129226572,synonym,demo: address residence apartment (matched on question text)
501859375,129226572,synonym,demo: address residence apartment (matched on question text)
521925072,129226572,synonym,demo: address residence apartment (matched on question text)
526672486,129226572,synonym,demo: address residence apartment (matched on question text)
539812906,129226572,synonym,demo: address residence apartment (matched on question text)
585360350,129226572,synonym,demo: address residence apartment (matched on question text)
653181757,129226572,synonym,demo: address residence apartment (matched on question text)
671149035,129226572,synonym,demo: address residence apartment (matched on question text)
693368144,129226572,synonym,demo: address residence apartment (matched on question text)
746533238,129226572,synonym,demo: address residence apartment (matched on question text)
783145717,129226572,synonym,demo: address residence apartment (matched on question text)
803339020,129226572,synonym,demo: address residence apartment (matched on question text)
817839081,129226572,synonym,demo: address residence apartment (matched on question text)
843674851,129226572,synonym,demo: address residence apartment (matched on question text)
848348504,129226572,synonym,demo: address residence apartment (matched on question text)
852404375,129226572,synonym,demo: address residence apartment (matched on question text)
853931010,129226572,synonym,demo: address residence apartment (matched on question text)
886284650,129226572,synonym,demo: address residence apartment (matched on question text)
906119853,129226572,synonym,demo: address residence apartment (matched on question text)
911964974,129226572,synonym,demo: address residence apartment (matched on question text)
981594981,129226572,synonym,demo: address residence apartment (matched on question text)
101804763,101804763,synonym,demo: address residence city (matched on question text)
107050954,101804763,synonym,demo: address residence city (matched on question text)
113352592,101804763,synonym,demo: address residence city (matched on question text)
128827522,101804763,synonym,demo: address residence city (matched on question text)
148846635,101804763,synonym,demo: address residence city (matched on question text)
160188014,101804763,synonym,demo: address residence city (matched on question text)
218334768,101804763,synonym,demo: address residence city (matched on question text)
280877371,101804763,synonym,demo: address residence city (matched on question text)
282089547,101804763,synonym,demo: address residence city (matched on question text)
288498031,101804763,synonym,demo: address residence city (matched on question text)
303500597,101804763,synonym,demo: address residence city (matched on question text)
309461541,101804763,synonym,demo: address residence city (matched on question text)
333852852,101804763,synonym,demo: address residence city (matched on question text)
351559021,101804763,synonym,demo: address residence city (matched on question text)
367684056,101804763,synonym,demo: address residence city (matched on question text)
384403974,101804763,synonym,demo: address residence city (matched on question text)
416620941,101804763,synonym,demo: address residence city (matched on question text)
418702418,101804763,synonym,demo: address residence city (matched on question text)
445867902,101804763,synonym,demo: address residence city (matched on question text)
450433102,101804763,synonym,demo: address residence city (matched on question text)
451993790,101804763,synonym,demo: address residence city (matched on question text)
476697171,101804763,synonym,demo: address residence city (matched on question text)
493041638,101804763,synonym,demo: address residence city (matched on question text)
536516743,101804763,synonym,demo: address residence city (matched on question text)
548773158,101804763,synonym,demo: address residence city (matched on question text)
556576930,101804763,synonym,demo: address residence city (matched on question text)
565540989,101804763,synonym,demo: address residence city (matched on question text)
570311888,101804763,synonym,demo: address residence city (matched on question text)
571926996,101804763,synonym,demo: address residence city (matched on question text)
588699608,101804763,synonym,demo: address residence city (matched on question text)
591687168,101804763,synonym,demo: address residence city (matched on question text)
599753334,101804763,synonym,demo: address residence city (matched on question text)
648495207,101804763,synonym,demo: address residence city (matched on question text)
686611963,101804763,synonym,demo: address residence city (matched on question text)
703385619,101804763,synonym,demo: address residence city (matched on question text)
703944664,101804763,synonym,demo: address residence city (matched on question text)
706592013,101804763,synonym,demo: address residence city (matched on question text)
711881258,101804763,synonym,demo: address residence city (matched on question text)
715370929,101804763,synonym,demo: address residence city (matched on question text)
725583683,101804763,synonym,demo: address residence city (matched on question text)
726739712,101804763,synonym,demo: address residence city (matched on question text)
733619119,101804763,synonym,demo: address residence city (matched on question text)
742177990,101804763,synonym,demo: address residence city (matched on question text)
744290061,101804763,synonym,demo: address residence city (matched on question text)
860984191,101804763,synonym,demo: address residence city (matched on question text)
876546260,101804763,synonym,demo: address residence city (matched on question text)
888514303,101804763,synonym,demo: address residence city (matched on question text)
890792569,101804763,synonym,demo: address residence city (matched on question text)
891573875,101804763,synonym,demo: address residence city (matched on question text)
907038282,101804763,synonym,demo: address residence city (matched on question text)
930511603,101804763,synonym,demo: address residence city (matched on question text)
931999203,101804763,synonym,demo: address residence city (matched on question text)
983038259,101804763,synonym,demo: address residence city (matched on question text)
202104231,202104231,synonym,demo: address residence country (matched on question text)
261025083,202104231,synonym,demo: address residence country (matched on question text)
274940131,202104231,synonym,demo: address residence country (matched on question text)
298170847,202104231,synonym,demo: address residence country (matched on question text)
337088272,202104231,synonym,demo: address residence country (matched on question text)
368486703,202104231,synonym,demo: address residence country (matched on question text)
384576626,202104231,synonym,demo: address residence country (matched on question text)
388427546,202104231,synonym,demo: address residence country (matched on question text)
