response_concept_id,format_value
101178950,1 = password
102445389,1= 1 to 9 times
103209024,2=Home
103409401,3 = 4 days per week
103565678,"3 = Mild hair loss on the sides of the forehead, but not as far back as the ears, and mild loss from the center of the forehead. Also, hair thinning on the top (crown) of the head."
104053459,0=Not Revoked
104430631,0 = No
104593854,0 = Not meeting
105727261,1=Three (triplets)
106368621,47 = Central African Republic
107649642,222 = Somalia
107714591,5= 5 days
109972911,1 =I had surgery to remove both ovaries
110092955,0 = The same day
111135211,144 = Madagascar
111520945,0 = Not at all
111959410,1=Requested but not signed
113064256,"1 = I have had at least one menstrual period in the past 12 months but the frequency of my period changed (such as it stopped, became irregular, or difficult to predict)"
113771607,0 = I had surgery to remove one kidney
113838601,3 = AstraZeneca
115843761,155 = Mexico
115959973,6 = Google Pixel
117258272,0 = I cannot find the survey
117840593,41 = Temple CDM
118191655,5 = Didn't smoke a hookah or water pipe during this time
119809731,2 = 3 to 5 times
120045322,2= 21 to 35
120264574,11 = South Loop
121454001,2=Revoked and signed
122802180,0 = Almost all the time
123108471,0 = Water from the tap or refrigerator that has not been filtered or treated
123981879,42 = Cambodia
124276120,2 = 40-45
125001209,2 = Kaiser Permanente Colorado
125674414,6 = 7
127455035,4= 2 hours or more
127547625,0 = Text message
127626388,26 = Bismarck Medical Center
130709488,11 = Urgent Care Visit
131550264,3 = Fair
131658361,"28 = Bonaire, Sint Eustatius And Saba"
132080040,0 = No change needed
132099255,1= Sometimes
132115595,4 = Microsoft® Surface
132232896,3= 100 or more
133730190,4= Higher than 50
135672398,4 = Very Interested
135725957,1=Bladder
137254299,1=As loud as talking
138332277,2 = Three to five times per week
138752522,4 = Poor
139822395,21=Thyroid
139824195,263 = Virgin Islands (U.S.)
141992510,"0 = No, I will return to this survey after I have completed my home mouthwash sample donation."
142345918,180 = Norway
142631891,5 = More than 500 feet
145191545,9 = Ingalls Harvey
145235510,"1 = Yes, because of puberty or hormones already in my body"
145241318,251 = United Arab Emirates
146477090,0 = Type 1
146657449,115 = Indonesia
147016867,4 = Strongly disagree
148616671,179 = Northern Mariana Islands
148997103,17 = Bahamas
149772928,1= World Courier
150283599,53 = Colombia
151001809,4 = 251 to 500 feet
151394571,"5 = Severe hair loss on the top of the head, but no hair loss at the forehead"
151488193,0 = 10 or less
153365143,7= Technology adapters
153444133,1=Black non-Hispanic
155662905,3 = Do not like hot drinks
156095877,1 = 2
156628245,252 = United Kingdom Of Great Britain And Northern Ireland
159625321,"11 = No, I want to enter another address (11th address)"
160036380,5= Five or more
160161595,4 = Outreach timed out
160710632,254 = United States Miscellaneous Pacific Islands
162668459,2 = 3
162693263,"0 = Every day, at least two hours each day"
163149180,0=English
164282814,7= 7 days
166955192,209 = San Marino
167208049,2= About half of the time
169159988,178 = North Macedonia
169225725,0 = 5 minutes or less
170270174,25 = Bermuda
171498611,"0 = No, I want to add another seasonal or vacation home address"
173625583,"7 = Severe hair loss on the sides and front of the forehead that are continuous with severe baldness on the top (crown) of the head. There is no clear strip of hair that separates these areas of balding. The hairline at the sides of the head is at, or below, the temples. Only a small strip of hair remains around the ears and at the back of the head."
173749698,266 = Western Sahara
174321703,218 = Sint Maarten (Dutch Part)
174968750,0=Less than 1 hour per day
176389605,51 = Christmas Island
176904165,0 = Thinner than average
178420302,77 = Unavailable/Unknown
178780048,"2 = Yes, I have had this symptom in the past, but I do not have it now"
179966266,161 = Montenegro
180306463,4= 5 shots
180583933,0 = Not active
181090983,8 = September
181769837,55 = Other
181786871,1=Daily
181845623,134 = Lao People'S Democratic Republic
183520161,24 = Benin
184065355,"2 = No, I want to enter another address (2nd address)"
184997877,116 = Iran (Islamic Republic Of)
185036360,1=More than one
185898646,1 = Just enough - I like the number of emails and/or text messages
186213845,136 = Lebanon
187433409,204 = Saint Lucia
189414295,3= Dark
190125431,3= 36 to 50
192247286,1 = 1 per week
193058048,3 = With a little difficulty
193698473,85 = French Guiana
194129782,1 = 2 to 4
194274197,1 = STOP
195866199,148 = Mali
196962759,0 = I still spend time here
197316935,1 = Verified
197935377,6 = Queer
198030665,"1 = Yes, I completed all four sections"
198347104,2= 1 to 2 times per week
198654048,"2 = Half sibling, same father"
200323667,"1= Yes, I used hormones or other medications to make my body look more feminine in the past"
200837530,13=Lymphoma
200929978,7=Native Hawaiian
200962909,12 = Chromebook
201002865,9 = 9 hours or more
201083438,196 = Qatar
202879015,23 = Belize
205790732,3 = I do not feel comfortable answering the survey questions
206020811,2 = 31 to 44 minutes
207952166,2 = 2 to 3 times per month
208245330,15 = Austria
208325815,0 = No Refusal
208952854,9=Research Registry
209571450,"3 = $35,000-$49,999/year"
210038417,191 = Philippines
210720511,2 = Boxed
210894509,9 = No labels
211228524,1=American Indian or Alaskan Native
211590917,2= Often
212249150,"4 = $50,000-$74,999/year"
212392048,234 = Syrian Arab Republic
216012641,207 = Saint Vincent And The Grenadines
216450786,4= Almost never
218837028,0 = Woman
219803804,1=Matched
219863910,2 = Cannot be verified
220083334,0 = Very feminine
221192556,0 = Unable to do
223216393,0 = Live birth: single infant
223461539,1= Some sun exposed areas
224099497,"2 = Yes, mostly"
224120697,2= Reddish-Brown
226924545,"2=I, 1st"
227078307,7 = Angola
227782304,2 = HELP
229540444,2=3 to 5 hours per day
229663661,166 = Namibia
230459284,22 = Belgium
230748315,0 = Blond
231311385,2=Submitted
232063618,0 = Less than 1 month
232334767,0=African American/Black
232663805,5=Hispanic/Latino/Declined
233155848,137 = Lesotho
233284019,"9=VIII, 8th"
233944056,2 = Somewhat interested
234139565,0 = Short draw
235613392,5 = Rarely
235762633,"8 = No, I want to enter another address (8th address)"
236949684,0 = Once
238237869,7 = Samsung Galaxy
238299421,146 = Malaysia
239152340,1 = Once a month or less
240437781,2 = 2-4 per week
241236037,5 = Data Destruction Requested
241974920,3 = Assigned
242016061,0 = Too many - I get far too many emails and/or text messages
243581220,99 = Grenada
244354126,"0 = No, I never had this symptom"
