question_concept_id,question_text,question_type,secondary_source_concept_id,source_question_concept_id
100181644,Pergonal,,745268907,881200765
100591237,"Commuter rail, subway, metro- Thinking about the one-way trip from [insert address from CURWORK1 - CURWORK3/this address] to your home on a usual workday, about how much time did you usually spend in each type of transportation?",,716117817,786253125
100618603,Other - Home Collections,,377669767,633640710
100752105,"Norplant (inserted under the skin of your upper arm, lasts several years)",,745268907,543780863
100767870,All baseline surveys completed,,581036703,
100937200,Are you currently using copper IUD?,,745268907,
101170268,"How many days have you consumed cannabis edibles, drinks, or capsules in your life?",,965707586,
101170406,Baseline EMR Push,"For BioSpm_Visit_v1r0, baseline is a format/value. But baseline is also a secondary source here; all given the same concept ID on Brian's end even though they're different in the master dictionary",209454331,
101219440,5-Previous State/Province,,716117817,113930886
101310722,# Pills per day,,745268907,596961796
101341673,Employer Zip code - Follow-Up,,716117817,263588196
101710639,"Do you use chewing tobacco, snus, snuff, or dip  now?",,965707586,
101763809,Refused 2024 Connect Experience Survey,,861315814,685002411
101804763,5-Seasonal City - Follow-up,,716117817,194944818
101837333,The National Cancer Institute has a good reputation for research,"Optional Select All That Apply, DisplayIf in One or More Responses",506648060,960544981
101850740,"Bus or streetcar/trolley, light rail/trolley, light rail - Thinking about the one-way trip from your home to [insert address from CURWORKPOSTPAN1 - CURWORKPOSTPAN3/this address] on a usual workday, about how much time do you usually spend in each type of transportation?",,716117817,733638576
101862879,"Standard error of t-score for fatigue, PROMIS-29",,601305072,
102695484,Deviation- Centrifuge -  did not clot at least 30 minutes,,299553921,248868659
103045461,"Over the past 12 months, on the days that you drank other alcoholic beverages, how many servings of these  beverages (such as wine coolers, hard soda, spiked seltzer (sparkling water), Smirnoff Ice, malt liquor, or pre-mixed cocktails) did you drink per day?",,965707586,
103188138,Season Address 10-Please provide the cross streets of the intersection closest to this address:,,716117817,670316988
103327434,"Seasonal Address 5- What [is/was] the main source of water that you [drink/drank] at [insert address insert address from SEASADD1 - SEASADD3/ the 1st/2nd/3rd/etc. address you provided]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]",,716117817,953722451
103689435,6-Seasonal Zip code - Follow-up,,716117817,508587741
104045590,Date/Time Breast Cancer Diagnosis Submitted,,242103797,
104278817,First Name extracted from Data Destruction form,,635994596,
104430631,No,Select All That Apply,299215535,899251483
104666483,"Address 9- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 - HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]",,716117817,740535024
104676242,What type(s) of alcoholic beverages did you usually drink  - Wine,,965707586,912659087
104842019,How many times have you had an endometrial biopsy?,Multiple Choice,369168474,
105043152,Current Full Street name #1,,716117817,804504024
105063268,How run-down did you feel on average?,Nested,601305072,907490539
105891443,Temperature probe in box?,,429634576,
105941645,Seasonal Address 4- What [is/was] the source of water to [insert address insert address from SEASADD1 - SEASADD3/ the 1st/2nd/3rd/etc. address you provided?,,716117817,105941645
106010694,Last blood transfusion year,Or (xor=) Question (either/or text boxes without radio button),726699695,593017220
106272739,"During each of these age ranges, how many people in your household smoked tobacco (such as cigarettes, cigars, or pipes) in your presence? Please do not include yourself.                      Ages 15 to 17",,965707586,252017075
107050954,Does your usual one-way trip to [insert address from CURSCH1 - CURSCH3/this address] from your home involve travel on a major city or town roadway? These usually have two or more lanes and stoplights. An example is pictured.,,716117817,
107060069,Which of these best describes the type of prostate removal surgery that you had?,Optional Multiple Choice,726699695,
107428524,Walking commute from current school,,716117817,345355061
107659596,"Commuter rail, subway, metro commute to work",,716117817,635467479
108025529,Fallopian Tubes,Required Select All that Apply,726699695,750420077
108082847,unsubscribe_status: Status if recipient unsubscribed from email list,,708990554,
108104748,Injection,,745268907,946849196
108389123,"Feeling weak, tired and/or sick 24-48 hours after physical activity or exercise - How long experienced COV20A",Grid with Multiple Choice Sub-Questions,299215535,114280729
108417657,How many times have you had a proctoscopy?,Multiple Choice,369168474,
108427288,processed_status: Status of if the message is being received and prepared to be delivered by SendGrid,,708990554,
108530997,Previous Employer State/Province,Mulitple Text Boxes,716117817,992180692
108733102,"Duringthe [first/2nd/3rd/etc.] time you had COVID-19, were you diagnosed with pneumonia (a lung or respiratory infection) as a complication of COVID-19?","Optional Multiple Choice, Loops",299215535,737077131
108849491,"If you would like to share more about the technical problems you have experienced, you can do so here. [text box]",Text Box Plus Check Box,506648060,575160226
109223043,Troubling remembering things - How long experienced COV20A,Grid with Multiple Choice Sub-Questions,299215535,114280729
109431893,"Bicycle- Thinking about the one-way trip from your home to [insert address from PREWORK1 - PREWORK3/this address] on a usual workday, about how much time did you usually spend in each type of transportation?",,716117817,968388901
109544008,How old were you when you first used medication to treat thinning hair or hair loss?,Or (xor=) Question (either/or text boxes without radio button),726699695,
109610692,DHQ3 at 6 months - Autogenerated date/time stamp for Start of DHQ3 survey,,497020618,
109876967,Metformin milligrams,,745268907,991622246
109991481,2-Seasonal State/Province,,716117817,279093430
110349197,Polyaccession ID- Urine,,173836415,266600170
110516520,7-Seasonal Full Street name #2,,716117817,851731394
110852652,Previous Employer Zip code,Mulitple Text Boxes,716117817,992180692
110872086,"Since your COVID-19 diagnosis, have you experienced any other symptoms?",Optional Multiple Choice with Text Box (text in text box),299215535,110872086
111082535,Have you ever had in vitro fertilization (IVF)?,,745268907,
111235606,"Have you ever used testosterone therapy (e.g., Depo-Testosterone, Androgel, Testim, Fortesta, Axiron, Androderm, Striant)?",,745268907,
111271067,How old were you when you last used other progestin-only medication?,,745268907,
111275683,1-Previous Full street Name,,716117817,574985342
